IP:Port,Loss,Latency
188.114.96.231:1018,0%,3.73
162.159.195.128:4198,0%,3.73
188.114.98.8:2371,0%,3.73
188.114.97.93:8854,0%,3.74
188.114.97.26:8854,0%,3.74
162.159.195.160:1701,0%,3.75
162.159.192.114:854,0%,3.75
188.114.97.242:2371,0%,3.76
188.114.98.123:7152,0%,3.76
162.159.195.180:3581,0%,3.77
188.114.98.23:1074,0%,3.77
162.159.192.72:945,0%,3.77
188.114.97.48:903,0%,3.78
162.159.195.238:988,0%,3.78
188.114.97.20:3854,0%,3.79
162.159.195.141:880,0%,3.81
188.114.97.182:942,0%,3.81
188.114.98.114:3476,0%,3.82
188.114.98.126:943,0%,3.82
188.114.98.154:854,0%,3.83
162.159.195.233:4500,0%,3.83
188.114.97.215:864,0%,3.84
162.159.195.47:1014,0%,3.84
188.114.98.9:1387,0%,3.84
162.159.192.175:7152,0%,3.85
162.159.192.27:859,0%,3.85
188.114.99.243:934,0%,3.86
162.159.195.132:987,0%,3.86
162.159.195.204:943,0%,3.86
162.159.195.230:859,0%,3.87
188.114.96.248:1180,0%,3.87
162.159.195.105:942,0%,3.87
188.114.97.30:968,0%,3.88
188.114.96.73:4177,0%,3.88
188.114.97.50:987,0%,3.88
162.159.192.218:7152,0%,3.88
162.159.192.134:4198,0%,3.88
162.159.195.3:3138,0%,3.88
188.114.97.197:7156,0%,3.88
188.114.96.199:2408,0%,3.89
162.159.192.176:859,0%,3.90
162.159.195.240:500,0%,3.90
188.114.96.201:8319,0%,3.91
188.114.96.230:1074,0%,3.91
188.114.96.215:8886,0%,3.92
188.114.99.59:4177,0%,3.92
162.159.195.87:1843,0%,3.93
162.159.192.231:1010,0%,3.93
162.159.195.1:987,0%,3.94
188.114.99.138:1014,0%,3.95
188.114.99.108:1387,0%,3.95
162.159.192.124:1387,0%,3.95
188.114.97.53:4233,0%,3.96
162.159.195.247:1701,0%,3.96
188.114.98.193:1180,0%,3.98
188.114.99.54:8742,0%,3.98
188.114.96.213:2371,0%,3.98
188.114.99.43:7156,0%,3.99
162.159.195.196:2371,0%,4.00
188.114.96.47:945,0%,4.00
188.114.99.168:945,0%,4.00
188.114.99.93:1002,0%,4.01
162.159.195.220:1010,0%,4.02
188.114.98.185:945,0%,4.02
188.114.98.217:934,0%,4.03
188.114.96.99:2371,0%,4.04
188.114.96.206:987,0%,4.04
188.114.96.158:7281,0%,4.05
188.114.97.10:500,0%,4.08
188.114.96.170:8742,0%,4.09
162.159.192.191:1180,0%,4.09
188.114.96.199:1387,0%,4.10
188.114.97.184:500,0%,4.11
188.114.99.184:891,0%,4.11
188.114.99.147:928,0%,4.11
188.114.98.65:1074,0%,4.12
162.159.195.69:1070,0%,4.12
162.159.195.108:987,0%,4.12
188.114.96.236:880,0%,4.12
162.159.195.49:1014,0%,4.13
188.114.99.106:7156,0%,4.13
188.114.98.178:968,0%,4.14
188.114.98.83:891,0%,4.15
162.159.195.184:3476,0%,4.15
162.159.195.239:943,0%,4.15
188.114.99.110:3476,0%,4.16
162.159.195.98:934,0%,4.16
188.114.98.102:859,0%,4.16
188.114.99.184:1010,0%,4.17
162.159.195.70:939,0%,4.18
162.159.192.123:908,0%,4.18
162.159.195.213:1070,0%,4.18
162.159.195.31:7281,0%,4.21
188.114.96.98:987,0%,4.23
162.159.192.137:1070,0%,4.23
188.114.98.175:3476,0%,4.24
188.114.99.63:3854,0%,4.24
188.114.99.15:945,0%,4.25
162.159.192.199:2506,0%,4.25
188.114.97.104:1701,0%,4.26
188.114.96.7:7156,0%,4.28
188.114.97.201:7152,0%,4.29
188.114.96.128:1014,0%,4.29
188.114.99.160:903,0%,4.29
188.114.98.173:7559,0%,4.29
188.114.96.210:859,0%,4.30
188.114.97.64:903,0%,4.30
188.114.98.59:7559,0%,4.30
188.114.98.97:1018,0%,4.30
188.114.96.142:945,0%,4.33
188.114.96.189:500,0%,4.33
188.114.99.243:1014,0%,4.33
162.159.195.237:7156,0%,4.34
188.114.97.76:1074,0%,4.34
188.114.97.248:8319,0%,4.36
162.159.192.197:928,0%,4.37
188.114.98.63:3138,0%,4.37
188.114.96.205:7103,0%,4.37
188.114.99.145:4198,0%,4.38
188.114.99.3:945,0%,4.38
162.159.192.98:4177,0%,4.39
188.114.99.121:8854,0%,4.41
162.159.192.155:1843,0%,4.42
162.159.195.34:908,0%,4.42
162.159.192.39:5279,0%,4.42
162.159.195.134:4500,0%,4.42
188.114.96.39:1387,0%,4.44
188.114.99.92:8319,0%,4.45
162.159.192.153:942,0%,4.45
188.114.98.30:1843,0%,4.45
188.114.97.159:4233,0%,4.45
162.159.195.40:943,0%,4.46
162.159.195.159:988,0%,4.46
188.114.98.82:1387,0%,4.46
188.114.96.215:942,0%,4.46
188.114.99.192:5279,0%,4.46
162.159.195.110:7156,0%,4.47
188.114.98.163:1014,0%,4.48
162.159.192.97:908,0%,4.48
188.114.96.141:943,0%,4.49
162.159.192.214:2408,0%,4.50
162.159.195.46:1070,0%,4.50
188.114.98.229:939,0%,4.52
188.114.99.11:8742,0%,4.52
162.159.195.15:891,0%,4.52
188.114.97.30:1002,0%,4.54
162.159.192.134:3138,0%,4.54
188.114.99.81:3581,0%,4.55
188.114.99.138:1010,0%,4.55
188.114.99.233:1014,0%,4.56
188.114.97.77:1010,0%,4.56
188.114.98.88:1843,0%,4.57
162.159.192.180:5956,0%,4.60
162.159.195.77:890,0%,4.60
162.159.195.82:4500,0%,4.60
188.114.99.48:946,0%,4.61
188.114.98.199:854,0%,4.61
188.114.98.2:2371,0%,4.61
162.159.195.249:942,0%,4.62
188.114.99.223:988,0%,4.62
188.114.99.231:2408,0%,4.64
188.114.97.234:1074,0%,4.65
162.159.192.187:5956,0%,4.65
188.114.98.184:2371,0%,4.66
188.114.99.213:1070,0%,4.67
188.114.97.23:3854,0%,4.68
162.159.192.7:878,0%,4.68
188.114.98.173:987,0%,4.69
