IP:Port,Loss,Latency
188.114.97.138:908,0%,3.06
188.114.98.236:928,0%,3.07
188.114.98.187:968,0%,3.07
188.114.98.233:955,0%,3.07
188.114.97.8:7281,0%,3.07
188.114.98.200:894,0%,3.07
188.114.99.31:1074,0%,3.07
188.114.96.28:7103,0%,3.07
188.114.96.62:891,0%,3.07
188.114.97.195:1701,0%,3.08
188.114.96.251:894,0%,3.08
188.114.96.235:988,0%,3.08
188.114.97.172:8742,0%,3.08
162.159.192.19:1018,0%,3.08
162.159.195.108:1180,0%,3.08
188.114.99.176:1387,0%,3.09
188.114.98.110:955,0%,3.09
162.159.195.176:7281,0%,3.09
188.114.96.220:945,0%,3.09
188.114.98.195:1010,0%,3.09
188.114.97.100:908,0%,3.10
188.114.98.71:1387,0%,3.10
188.114.96.147:878,0%,3.10
188.114.98.65:894,0%,3.10
162.159.195.111:3476,0%,3.10
162.159.195.159:5956,0%,3.11
188.114.96.56:942,0%,3.11
188.114.98.1:955,0%,3.11
188.114.96.200:939,0%,3.11
188.114.96.87:988,0%,3.11
188.114.99.140:968,0%,3.11
188.114.99.207:988,0%,3.11
188.114.96.96:2408,0%,3.11
188.114.99.73:7156,0%,3.11
188.114.98.97:8319,0%,3.12
188.114.99.201:1002,0%,3.12
188.114.97.45:4177,0%,3.12
188.114.98.182:4233,0%,3.12
188.114.98.70:3138,0%,3.12
188.114.97.80:8886,0%,3.12
188.114.99.233:908,0%,3.12
188.114.98.69:1701,0%,3.12
162.159.195.107:880,0%,3.13
162.159.195.165:8742,0%,3.13
188.114.97.119:2506,0%,3.13
162.159.192.49:878,0%,3.13
162.159.195.160:8854,0%,3.13
188.114.96.38:894,0%,3.13
188.114.97.85:987,0%,3.13
188.114.97.212:968,0%,3.14
188.114.97.47:4233,0%,3.14
188.114.97.226:8886,0%,3.14
188.114.97.14:859,0%,3.15
188.114.97.79:903,0%,3.15
162.159.192.189:8742,0%,3.16
188.114.99.130:908,0%,3.16
188.114.98.228:2371,0%,3.16
188.114.96.164:878,0%,3.16
188.114.96.115:4500,0%,3.16
188.114.98.40:988,0%,3.16
188.114.98.119:7152,0%,3.16
162.159.192.214:1018,0%,3.16
188.114.98.172:945,0%,3.17
188.114.99.113:1843,0%,3.17
188.114.96.97:3581,0%,3.17
188.114.99.178:988,0%,3.17
188.114.96.5:988,0%,3.17
162.159.192.148:2506,0%,3.18
162.159.192.229:934,0%,3.18
188.114.96.126:1074,0%,3.18
188.114.97.103:3581,0%,3.18
188.114.97.64:7559,0%,3.18
188.114.99.166:4177,0%,3.18
188.114.96.175:945,0%,3.18
188.114.98.166:955,0%,3.18
188.114.99.61:8854,0%,3.18
188.114.99.125:3581,0%,3.18
188.114.97.149:7559,0%,3.19
188.114.98.164:1843,0%,3.19
162.159.195.45:7103,0%,3.19
162.159.192.181:3581,0%,3.19
188.114.98.173:500,0%,3.20
162.159.192.233:955,0%,3.20
188.114.98.186:1018,0%,3.20
162.159.192.251:1387,0%,3.20
162.159.195.162:878,0%,3.20
188.114.99.40:7152,0%,3.20
162.159.195.152:8886,0%,3.20
188.114.97.0:859,0%,3.20
162.159.192.146:1018,0%,3.20
188.114.98.9:854,0%,3.20
188.114.97.222:946,0%,3.20
162.159.195.1:4500,0%,3.20
188.114.98.133:908,0%,3.20
162.159.195.103:7156,0%,3.21
188.114.97.94:880,0%,3.21
162.159.192.250:1387,0%,3.21
162.159.195.215:7152,0%,3.21
188.114.98.238:955,0%,3.21
188.114.99.28:880,0%,3.21
162.159.195.131:946,0%,3.22
188.114.96.63:4233,0%,3.22
162.159.192.99:955,0%,3.22
188.114.96.141:1010,0%,3.22
162.159.192.246:946,0%,3.22
188.114.97.234:8854,0%,3.22
188.114.96.66:4500,0%,3.22
188.114.96.142:890,0%,3.22
188.114.96.240:1701,0%,3.22
162.159.195.101:955,0%,3.22
162.159.192.82:1387,0%,3.22
188.114.98.162:4233,0%,3.22
162.159.192.225:1014,0%,3.23
188.114.97.107:3581,0%,3.23
188.114.96.28:968,0%,3.24
188.114.97.110:1701,0%,3.24
162.159.192.87:8854,0%,3.24
188.114.96.118:968,0%,3.25
188.114.99.222:988,0%,3.25
188.114.98.74:4500,0%,3.25
162.159.195.216:8319,0%,3.25
188.114.96.181:5956,0%,3.25
188.114.97.69:968,0%,3.26
188.114.99.21:864,0%,3.26
162.159.195.146:859,0%,3.26
188.114.96.39:908,0%,3.26
162.159.192.157:934,0%,3.26
188.114.97.205:942,0%,3.26
188.114.98.34:968,0%,3.26
188.114.96.205:500,0%,3.26
188.114.97.83:1843,0%,3.26
188.114.99.54:943,0%,3.26
188.114.96.242:4500,0%,3.27
188.114.97.252:8319,0%,3.27
188.114.97.117:854,0%,3.27
188.114.99.246:7156,0%,3.27
162.159.192.82:908,0%,3.27
188.114.96.20:943,0%,3.28
188.114.98.145:8886,0%,3.28
188.114.98.211:2506,0%,3.28
188.114.97.6:880,0%,3.28
162.159.195.154:8319,0%,3.28
162.159.192.24:2371,0%,3.28
188.114.99.189:891,0%,3.28
188.114.96.248:3476,0%,3.28
188.114.98.244:939,0%,3.28
162.159.192.126:934,0%,3.28
162.159.195.165:7103,0%,3.28
188.114.98.34:2408,0%,3.28
188.114.96.45:1701,0%,3.29
162.159.195.115:1014,0%,3.29
162.159.192.241:894,0%,3.29
188.114.97.43:864,0%,3.29
188.114.98.224:987,0%,3.29
188.114.96.247:1387,0%,3.29
162.159.195.128:955,0%,3.30
188.114.99.21:7559,0%,3.30
188.114.98.113:2408,0%,3.30
